transaction_item_id,transaction_id,product_id,quantity,unit_price
1,1,27,2,220.37
2,1,44,4,28.61
3,1,45,1,120.86
4,2,25,2,223.76
5,2,37,1,127.95
6,2,17,4,167.59
7,3,15,1,188.49
8,3,46,2,352.51
9,4,46,4,352.51
10,4,46,4,352.51
11,4,44,4,28.61
12,5,33,4,480.62
13,5,42,1,358.7
14,6,16,2,288.22
15,6,28,1,134.06
16,6,18,5,419.21
17,7,43,1,222.58
18,8,20,5,429.0
19,9,17,2,167.59
20,10,33,2,480.62
21,11,22,5,363.22
22,12,9,2,92.64
23,12,32,3,338.67
24,12,19,5,431.47
25,13,14,4,236.92
26,13,15,2,188.49
27,14,32,5,338.67
28,14,13,2,29.47
29,15,38,3,226.52
30,15,13,5,29.47
31,15,2,2,358.7
32,16,24,3,127.23
33,16,24,5,127.23
34,16,35,2,56.38
35,17,7,2,261.02
36,17,26,4,43.93
37,17,47,5,364.43
38,18,35,4,56.38
39,18,4,2,25.24
40,19,30,3,264.86
41,19,7,2,261.02
42,20,33,1,480.62
43,20,21,3,422.0
44,21,50,1,459.33
45,21,11,4,170.77
46,21,47,2,364.43
47,22,35,2,56.38
48,22,49,1,12.78
49,22,18,4,419.21
50,23,29,3,46.39
51,23,41,3,458.98
52,23,32,4,338.67
53,24,16,5,288.22
54,25,42,3,358.7
55,26,20,2,429.0
56,27,33,4,480.62
57,27,11,5,170.77
58,27,45,3,120.86
59,28,8,3,147.92
60,28,4,2,25.24
61,29,41,4,458.98
62,30,18,4,419.21
63,30,22,2,363.22
64,31,4,2,25.24
65,32,39,4,463.32
66,33,39,3,463.32
67,34,43,5,222.58
68,34,48,1,346.95
69,35,41,3,458.98
70,35,38,3,226.52
71,35,49,3,12.78
72,36,26,4,43.93
73,36,2,4,358.7
74,37,18,4,419.21
75,38,49,1,12.78
76,38,44,2,28.61
77,38,35,3,56.38
78,39,43,3,222.58
79,40,13,5,29.47
80,40,17,3,167.59
81,40,28,1,134.06
82,41,50,3,459.33
83,41,23,5,329.44
84,41,13,1,29.47
85,42,5,1,412.6
86,42,3,4,336.03
87,42,25,1,223.76
88,43,2,5,358.7
89,43,27,4,220.37
90,43,3,4,336.03
91,44,24,4,127.23
92,44,31,5,294.93
93,45,31,5,294.93
94,46,19,2,431.47
95,46,18,2,419.21
96,47,43,5,222.58
97,47,29,1,46.39
98,48,40,1,454.51
99,49,26,3,43.93
100,50,25,5,223.76
101,50,11,1,170.77
102,51,38,3,226.52
103,51,1,1,187.99
104,51,24,5,127.23
105,52,18,5,419.21
106,53,36,4,339.47
107,53,38,3,226.52
108,53,44,3,28.61
109,54,40,4,454.51
110,54,1,1,187.99
111,54,49,2,12.78
112,55,37,2,127.95
113,56,43,2,222.58
114,57,27,4,220.37
115,57,27,3,220.37
116,57,34,2,412.1
117,58,20,3,429.0
118,58,28,2,134.06
119,58,10,3,429.51
120,59,16,4,288.22
121,59,10,4,429.51
122,60,19,3,431.47
123,60,14,5,236.92
124,60,3,1,336.03
125,61,16,2,288.22
126,61,11,3,170.77
127,61,47,5,364.43
128,62,47,5,364.43
129,62,47,5,364.43
130,62,22,1,363.22
131,63,47,5,364.43
132,64,3,1,336.03
133,64,1,3,187.99
134,64,19,3,431.47
135,65,48,2,346.95
136,65,22,2,363.22
137,65,29,1,46.39
138,66,29,2,46.39
139,67,41,4,458.98
140,68,28,2,134.06
141,69,25,3,223.76
142,69,48,3,346.95
143,70,32,1,338.67
144,71,4,3,25.24
145,72,22,2,363.22
146,72,40,4,454.51
147,73,38,4,226.52
148,73,5,3,412.6
149,73,19,4,431.47
150,74,25,5,223.76
151,75,48,1,346.95
152,76,22,3,363.22
153,76,23,2,329.44
154,77,18,3,419.21
155,77,36,5,339.47
156,77,44,1,28.61
157,78,2,5,358.7
158,78,45,4,120.86
159,79,5,2,412.6
160,80,1,5,187.99
161,81,17,5,167.59
162,82,42,4,358.7
163,82,5,2,412.6
164,82,35,1,56.38
165,83,23,5,329.44
166,83,23,2,329.44
167,83,8,4,147.92
168,84,48,4,346.95
169,84,39,2,463.32
170,85,39,2,463.32
171,85,26,4,43.93
172,86,16,2,288.22
173,87,30,2,264.86
174,88,32,5,338.67
175,88,10,5,429.51
176,88,28,5,134.06
177,89,45,3,120.86
178,89,35,1,56.38
179,89,4,1,25.24
180,90,18,3,419.21
181,91,33,1,480.62
182,92,23,5,329.44
183,93,15,3,188.49
184,93,13,2,29.47
185,93,16,1,288.22
186,94,26,1,43.93
187,94,48,2,346.95
188,94,43,1,222.58
189,95,14,2,236.92
190,95,34,1,412.1
191,95,15,3,188.49
192,96,21,4,422.0
193,96,28,2,134.06
194,97,26,1,43.93
195,98,16,4,288.22
196,98,9,4,92.64
197,98,21,5,422.0
198,99,31,2,294.93
199,99,42,5,358.7
200,100,24,4,127.23
201,100,30,2,264.86
202,100,48,4,346.95
203,101,41,3,458.98
204,101,1,3,187.99
205,102,38,3,226.52
206,103,3,1,336.03
207,103,10,3,429.51
208,103,42,5,358.7
209,104,16,5,288.22
210,104,9,3,92.64
211,105,13,2,29.47
212,106,8,2,147.92
213,106,41,4,458.98
214,106,48,4,346.95
215,107,35,4,56.38
216,107,17,1,167.59
217,107,20,2,429.0
218,108,44,5,28.61
219,109,25,2,223.76
220,110,34,2,412.1
221,111,41,2,458.98
222,111,6,2,441.83
223,112,21,1,422.0
224,113,13,5,29.47
225,113,15,3,188.49
226,113,11,1,170.77
227,114,44,3,28.61
228,114,12,5,496.55
229,114,36,4,339.47
230,115,30,2,264.86
231,115,8,2,147.92
232,115,19,3,431.47
233,116,7,5,261.02
234,117,25,1,223.76
235,117,10,3,429.51
236,118,30,5,264.86
237,118,5,1,412.6
238,119,28,3,134.06
239,120,30,3,264.86
240,120,12,1,496.55
241,120,15,4,188.49
242,121,6,3,441.83
243,122,18,4,419.21
244,122,4,2,25.24
245,122,35,5,56.38
246,123,29,5,46.39
247,123,44,3,28.61
248,123,41,4,458.98
249,124,49,3,12.78
250,125,16,2,288.22
251,126,12,5,496.55
252,126,6,3,441.83
253,127,29,3,46.39
254,128,14,3,236.92
255,129,29,5,46.39
256,129,41,5,458.98
257,130,4,2,25.24
258,131,4,4,25.24
259,131,10,1,429.51
260,132,14,5,236.92
261,132,36,4,339.47
262,132,26,5,43.93
263,133,3,4,336.03
264,133,7,3,261.02
265,134,17,2,167.59
266,134,34,3,412.1
267,134,27,2,220.37
268,135,4,3,25.24
269,135,37,5,127.95
270,136,17,2,167.59
271,136,37,3,127.95
272,137,5,2,412.6
273,138,25,2,223.76
274,138,14,5,236.92
275,138,15,2,188.49
276,139,10,5,429.51
277,140,48,2,346.95
278,140,35,2,56.38
279,141,41,2,458.98
280,142,21,2,422.0
281,143,1,4,187.99
282,143,6,5,441.83
283,143,25,2,223.76
284,144,28,5,134.06
285,145,37,5,127.95
286,146,12,1,496.55
287,146,35,3,56.38
288,146,20,5,429.0
289,147,12,4,496.55
290,147,15,3,188.49
291,148,24,3,127.23
292,149,36,2,339.47
293,149,40,2,454.51
294,150,43,5,222.58
295,150,4,4,25.24
296,151,1,3,187.99
297,151,5,4,412.6
298,152,10,4,429.51
299,152,9,5,92.64
300,153,15,3,188.49
301,153,29,1,46.39
302,154,45,3,120.86
303,154,36,2,339.47
304,154,47,2,364.43
305,155,13,4,29.47
306,156,34,3,412.1
307,156,10,5,429.51
308,156,9,1,92.64
309,157,28,4,134.06
310,157,28,3,134.06
311,158,24,5,127.23
312,158,5,3,412.6
313,158,12,4,496.55
314,159,40,5,454.51
315,159,14,2,236.92
316,159,1,2,187.99
317,160,32,5,338.67
318,161,45,4,120.86
319,161,22,5,363.22
320,162,25,2,223.76
321,162,9,5,92.64
322,162,11,4,170.77
323,163,2,4,358.7
324,163,24,5,127.23
325,163,41,3,458.98
326,164,18,5,419.21
327,164,38,5,226.52
328,165,38,3,226.52
329,166,5,2,412.6
330,166,21,3,422.0
331,167,5,3,412.6
332,167,33,3,480.62
333,168,7,5,261.02
334,169,16,4,288.22
335,169,36,2,339.47
336,169,10,3,429.51
337,170,49,5,12.78
338,171,5,2,412.6
339,172,37,2,127.95
340,172,9,2,92.64
341,172,34,4,412.1
342,173,23,1,329.44
343,173,45,2,120.86
344,174,8,5,147.92
345,174,6,5,441.83
346,175,13,4,29.47
347,176,24,2,127.23
348,177,9,5,92.64
349,177,41,4,458.98
350,177,25,2,223.76
351,178,32,4,338.67
352,178,35,4,56.38
353,178,12,3,496.55
354,179,26,2,43.93
355,180,6,2,441.83
356,180,18,3,419.21
357,180,25,2,223.76
358,181,10,1,429.51
359,181,4,5,25.24
360,181,36,3,339.47
361,182,37,5,127.95
362,182,12,5,496.55
363,183,5,4,412.6
364,183,17,3,167.59
365,183,22,2,363.22
366,184,38,5,226.52
367,184,17,1,167.59
368,185,26,3,43.93
369,185,41,4,458.98
370,185,5,3,412.6
371,186,9,5,92.64
372,186,45,3,120.86
373,187,7,1,261.02
374,187,28,4,134.06
375,187,38,5,226.52
376,188,8,2,147.92
377,189,6,1,441.83
378,190,36,2,339.47
379,191,42,3,358.7
380,191,20,5,429.0
381,192,2,2,358.7
382,193,33,5,480.62
383,193,49,5,12.78
384,194,29,2,46.39
385,195,41,1,458.98
386,196,35,1,56.38
387,196,11,1,170.77
388,197,28,4,134.06
389,197,27,5,220.37
390,197,41,4,458.98
391,198,33,1,480.62
392,198,23,1,329.44
393,199,26,4,43.93
394,199,31,5,294.93
395,199,25,3,223.76
396,200,44,5,28.61
